FullDate,Category,ShipCost,AvgDeliveryDays,ShipCostPerUnit,ShipCostPerOrder,ShipCostPctSales
2020-06-21,Towing,44229.62,14.6700507614213,2948.641333,7371.603333,5.641770
2023-09-22,Performance,95032.73,15.0206225680934,4525.368095,13576.104285,19.482383
2023-06-27,Exterior,98472.67,15.0722305389222,3282.422333,9847.267000,7.326672
2019-08-13,Performance,95032.73,15.0206225680934,3519.730740,8639.339090,6.788110
2024-07-11,Performance,95032.73,15.0206225680934,1827.552500,5001.722631,4.787265
2022-12-12,Performance,95032.73,15.0206225680934,2568.452162,7919.394166,5.146775
2021-04-14,Lighting,47086.68,15.2331768388106,2354.334000,5885.835000,3.821641
2024-05-31,Suspension,45486.04,15.0712550607287,2675.649411,5685.755000,4.431751
2025-08-05,Interior,44648.78,15.0296108291032,4960.975555,8929.756000,7.073836
2022-06-17,Performance,95032.73,15.0206225680934,3801.309200,8639.339090,7.936079
2023-12-15,Towing,44229.62,14.6700507614213,2211.481000,6318.517142,5.952433
2022-06-15,Lighting,47086.68,15.2331768388106,2242.222857,5231.853333,3.907741
2020-06-08,Suspension,45486.04,15.0712550607287,1624.501428,5054.004444,3.057085
2020-06-07,Suspension,45486.04,15.0712550607287,3249.002857,7581.006666,6.264311
2019-01-10,Exterior,98472.67,15.0722305389222,4281.420434,9847.267000,7.061498
2024-12-29,Lighting,47086.68,15.2331768388106,2769.804705,7847.780000,15.211676
2021-09-26,Towing,44229.62,14.6700507614213,3685.801666,8845.924000,17.950988
2025-07-08,Exterior,98472.67,15.0722305389222,3077.270937,10941.407777,9.422338
2022-10-03,Suspension,45486.04,15.0712550607287,2842.877500,5685.755000,4.737773
2021-10-26,Suspension,45486.04,15.0712550607287,2675.649411,9097.208000,8.452172
2020-03-01,Exterior,98472.67,15.0722305389222,2461.816750,5792.510000,4.115291
2024-01-01,Exterior,98472.67,15.0722305389222,4689.174761,10941.407777,5.622473
2020-12-24,Exterior,98472.67,15.0722305389222,3516.881071,7574.820769,5.818477
2025-02-27,Performance,95032.73,15.0206225680934,3519.730740,9503.273000,6.590547
2019-10-16,Performance,95032.73,15.0206225680934,3394.026071,9503.273000,8.937947
2022-09-02,Interior,44648.78,15.0296108291032,3720.731666,8929.756000,7.504803
2024-09-21,Towing,44229.62,14.6700507614213,2106.172380,6318.517142,5.365998
2022-02-07,Suspension,45486.04,15.0712550607287,3498.926153,6498.005714,5.902486
2025-02-09,Performance,95032.73,15.0206225680934,3394.026071,8639.339090,7.213055
2022-04-26,Performance,95032.73,15.0206225680934,2639.798055,6335.515333,6.566267
2022-11-01,Interior,44648.78,15.0296108291032,4960.975555,11162.195000,8.108863
2023-12-16,Exterior,98472.67,15.0722305389222,3787.410384,8206.055833,6.748933
2020-10-16,Exterior,98472.67,15.0722305389222,3647.135925,8952.060909,6.371466
2023-04-07,Lighting,47086.68,15.2331768388106,3622.052307,5885.835000,3.657232
2019-01-08,Interior,44648.78,15.0296108291032,2790.548750,6378.397142,4.319362
2025-03-21,Lighting,47086.68,15.2331768388106,1743.951111,4708.668000,3.222283
2022-12-30,Suspension,45486.04,15.0712550607287,3498.926153,7581.006666,13.004817
2022-07-12,Interior,44648.78,15.0296108291032,4960.975555,11162.195000,8.999592
2024-05-12,Exterior,98472.67,15.0722305389222,1758.440535,5182.772105,4.205647
2019-08-02,Towing,44229.62,14.6700507614213,4422.962000,8845.924000,13.226402
2019-09-14,Performance,95032.73,15.0206225680934,3959.697083,10559.192222,7.865463
2023-10-01,Interior,44648.78,15.0296108291032,1275.679428,3720.731666,5.104858
2024-03-16,Exterior,98472.67,15.0722305389222,1790.412181,4476.030454,3.136347
2022-02-16,Exterior,98472.67,15.0722305389222,2095.163191,5182.772105,3.433840
2023-02-19,Performance,95032.73,15.0206225680934,2159.834772,5279.596111,3.468933
2020-02-18,Performance,95032.73,15.0206225680934,2436.736666,6335.515333,5.602119
2020-10-05,Lighting,47086.68,15.2331768388106,5885.835000,11771.670000,9.941617
2025-08-11,Suspension,45486.04,15.0712550607287,4548.604000,11371.510000,14.782881
2024-12-07,Interior,44648.78,15.0296108291032,2480.487777,6378.397142,4.219421
2021-08-14,Towing,44229.62,14.6700507614213,8845.924000,22114.810000,17.559101
2021-04-29,Suspension,45486.04,15.0712550607287,1895.251666,4548.604000,4.717754
2019-09-10,Suspension,45486.04,15.0712550607287,9097.208000,15162.013333,12.129351
2024-03-10,Exterior,98472.67,15.0722305389222,2591.386052,6564.844666,4.086915
2022-11-08,Exterior,98472.67,15.0722305389222,3395.609310,7033.762142,5.937589
2021-12-29,Suspension,45486.04,15.0712550607287,4548.604000,15162.013333,10.884431
2020-11-14,Performance,95032.73,15.0206225680934,3276.990689,9503.273000,7.561177
2023-11-09,Suspension,45486.04,15.0712550607287,1749.463076,5054.004444,3.694522
2023-12-08,Exterior,98472.67,15.0722305389222,3176.537741,7574.820769,6.467933
2021-07-15,Performance,95032.73,15.0206225680934,2879.779696,7919.394166,6.770526
2020-05-30,Lighting,47086.68,15.2331768388106,5885.835000,9417.336000,8.759954
2020-06-24,Interior,44648.78,15.0296108291032,2790.548750,7441.463333,5.281766
2020-08-06,Towing,44229.62,14.6700507614213,4422.962000,11057.405000,27.193126
2021-06-13,Lighting,47086.68,15.2331768388106,2242.222857,5885.835000,7.571496
2022-09-10,Suspension,45486.04,15.0712550607287,1819.441600,4548.604000,3.342089
2023-03-13,Performance,95032.73,15.0206225680934,6335.515333,15838.788333,13.398233
2022-08-23,Performance,95032.73,15.0206225680934,2317.871463,5001.722631,4.061484
2019-04-30,Towing,44229.62,14.6700507614213,2764.351250,7371.603333,6.293478
2023-02-02,Interior,44648.78,15.0296108291032,2976.585333,7441.463333,4.427417
2025-06-22,Towing,44229.62,14.6700507614213,3159.258571,7371.603333,6.691359
2020-09-12,Towing,44229.62,14.6700507614213,4020.874545,11057.405000,6.490906
2022-02-26,Suspension,45486.04,15.0712550607287,1749.463076,5054.004444,3.606253
2024-06-18,Exterior,98472.67,15.0722305389222,3077.270937,9847.267000,7.771370
2025-02-09,Interior,44648.78,15.0296108291032,2029.490000,4960.975555,3.289449
2023-04-02,Towing,44229.62,14.6700507614213,3402.278461,8845.924000,7.881988
2024-03-29,Lighting,47086.68,15.2331768388106,2478.246315,6726.668571,6.037582
2024-03-23,Exterior,98472.67,15.0722305389222,2984.020303,8206.055833,10.172260
2021-08-02,Performance,95032.73,15.0206225680934,2317.871463,6335.515333,5.558477
2024-11-04,Interior,44648.78,15.0296108291032,1860.365833,6378.397142,5.216423
2023-07-09,Towing,44229.62,14.6700507614213,6318.517142,11057.405000,11.080452
2023-10-31,Suspension,45486.04,15.0712550607287,3032.402666,9097.208000,5.588789
2022-09-23,Performance,95032.73,15.0206225680934,2021.972978,5590.160588,3.871138
2024-08-02,Towing,44229.62,14.6700507614213,4914.402222,7371.603333,4.376483
2023-06-07,Performance,95032.73,15.0206225680934,2021.972978,6335.515333,4.642843
2024-06-17,Towing,44229.62,14.6700507614213,1195.395135,3685.801666,2.214223
2022-12-18,Lighting,47086.68,15.2331768388106,3622.052307,7847.780000,6.200976
2025-03-31,Performance,95032.73,15.0206225680934,4525.368095,8639.339090,8.158100
2023-03-06,Lighting,47086.68,15.2331768388106,2354.334000,6726.668571,5.457066
2025-02-13,Interior,44648.78,15.0296108291032,4058.980000,7441.463333,6.408756
